gate_score,gate_target_accept_acc,gate_selection_mode,feature_set,model,train_scope,accept_n,accept_frac,review_n,review_frac,base_accuracy,base_balanced_accuracy,final_accuracy,final_balanced_accuracy,final_specificity_low,final_sensitivity_high,final_tn,final_fp,final_fn,final_tp,accept_accuracy,review_base_accuracy,review_final_accuracy,review_final_sensitivity_high,review_final_specificity_low,rescued_total,hurt_total,rescued_fn,hardcore_final_accuracy,hardcore_rescued,hardcore_hurt
hybrid_overall_then_fn,0.9,raw,raw_outputs,gb,review_train,30,0.10526315789473684,255,0.8947368421052632,0.7684210526315789,0.7684692671394799,0.7614035087719299,0.761081560283688,0.7916666666666666,0.7304964539007093,114,30,38,103,0.8666666666666667,0.7568627450980392,0.7490196078431373,0.6942148760330579,0.7985074626865671,10,12,1,0.26153846153846155,4,5
upper_low_conf,0.95,raw,raw_outputs,gb,review_train,58,0.20350877192982456,227,0.7964912280701755,0.7684210526315789,0.7684692671394799,0.7614035087719299,0.761081560283688,0.7916666666666666,0.7304964539007093,114,30,38,103,0.9137931034482759,0.7312775330396476,0.7224669603524229,0.6964285714285714,0.7478260869565218,11,13,1,0.3384615384615385,7,3
hybrid_overall_then_fn,0.9,raw,raw_plus_review,rf,review_train,30,0.10526315789473684,255,0.8947368421052632,0.7684210526315789,0.7684692671394799,0.7578947368421053,0.7579048463356974,0.7569444444444444,0.7588652482269503,109,35,34,107,0.8666666666666667,0.7568627450980392,0.7450980392156863,0.7272727272727273,0.7611940298507462,0,3,0,0.26153846153846155,0,1
hybrid_mean_all_std_abs_fn,0.95,raw,raw_outputs,gb,review_train,20,0.07017543859649122,265,0.9298245614035088,0.7684210526315789,0.7684692671394799,0.7578947368421053,0.7576093380614657,0.7847222222222222,0.7304964539007093,113,31,38,103,0.9,0.7584905660377359,0.7471698113207547,0.696,0.7928571428571428,9,12,1,0.23076923076923078,3,6
hybrid_mean_all_std_abs_fn,0.95,raw,raw_plus_review,gb,review_train,20,0.07017543859649122,265,0.9298245614035088,0.7684210526315789,0.7684692671394799,0.7578947368421053,0.7576093380614657,0.7847222222222222,0.7304964539007093,113,31,38,103,0.9,0.7584905660377359,0.7471698113207547,0.696,0.7928571428571428,8,11,0,0.23076923076923078,3,6
upper_low_conf,0.9,raw,raw_outputs,gb,review_train,100,0.3508771929824561,185,0.6491228070175439,0.7684210526315789,0.7684692671394799,0.7578947368421053,0.7575354609929078,0.7916666666666666,0.723404255319149,114,30,39,102,0.89,0.7027027027027027,0.6864864864864865,0.6451612903225806,0.7282608695652174,11,14,2,0.3230769230769231,6,3
upper_low_conf,0.9,raw,raw_plus_review,gb,all_train,100,0.3508771929824561,185,0.6491228070175439,0.7684210526315789,0.7684692671394799,0.7578947368421053,0.7575354609929078,0.7916666666666666,0.723404255319149,114,30,39,102,0.89,0.7027027027027027,0.6864864864864865,0.6451612903225806,0.7282608695652174,9,12,0,0.26153846153846155,6,7
all_range,0.9,raw,raw_plus_review,gb,all_train,21,0.07368421052631578,264,0.9263157894736842,0.7684210526315789,0.7684692671394799,0.7578947368421053,0.7575354609929078,0.7916666666666666,0.723404255319149,114,30,39,102,0.8095238095238095,0.7651515151515151,0.7537878787878788,0.7265625,0.7794117647058824,9,12,0,0.26153846153846155,6,7
hybrid_max_allrange_fn,0.9,raw,raw_plus_review,gb,all_train,13,0.0456140350877193,272,0.9543859649122807,0.7684210526315789,0.7684692671394799,0.7578947368421053,0.7575354609929078,0.7916666666666666,0.723404255319149,114,30,39,102,0.8461538461538461,0.7647058823529411,0.7536764705882353,0.7,0.8028169014084507,9,12,0,0.26153846153846155,6,7
hybrid_mean_all_std_abs_fn,0.9,raw,raw_plus_review,gb,all_train,34,0.11929824561403508,251,0.8807017543859649,0.7684210526315789,0.7684692671394799,0.7578947368421053,0.7575354609929078,0.7916666666666666,0.723404255319149,114,30,39,102,0.8823529411764706,0.7529880478087649,0.7410358565737052,0.6837606837606838,0.7910447761194029,9,12,0,0.26153846153846155,6,7
