accuracy,balanced_accuracy,auc,f1,sensitivity,specificity,tn,fp,fn,tp,model,threshold_mode,feature_set
0.8,0.8001625295508275,0.8209712371946415,0.8013937282229965,0.8156028368794326,0.7847222222222222,113,31,26,115,extra_d2_l10,acc_sens80,candidates_only
0.8,0.8000886524822695,0.8447596532702917,0.8,0.8085106382978723,0.7916666666666666,114,30,27,114,gb_d1_lr05,f1,candidates_plus_raw_outputs
0.8,0.7999408983451537,0.8245173364854216,0.797153024911032,0.7943262411347518,0.8055555555555556,116,28,29,112,logreg_c003,bacc_sens80,candidates_plus_raw_outputs
0.8,0.7999408983451537,0.8245173364854216,0.797153024911032,0.7943262411347518,0.8055555555555556,116,28,29,112,logreg_c003,acc_sens80,candidates_plus_raw_outputs
0.7964912280701755,0.7966164302600472,0.8423709613869188,0.7972027972027972,0.8085106382978723,0.7847222222222222,113,31,27,114,gb_d1_lr03,f1,candidates_plus_raw_outputs
0.7894736842105263,0.789598108747045,0.8248128447596532,0.7902097902097902,0.8014184397163121,0.7777777777777778,112,32,28,113,gb_d2_lr03,f1,candidates_plus_raw_outputs
0.7894736842105263,0.7891548463356974,0.817326635145784,0.781021897810219,0.7588652482269503,0.8194444444444444,118,26,34,107,logreg_c01,bacc,candidates_plus_raw_outputs
0.7894736842105263,0.7891548463356974,0.817326635145784,0.781021897810219,0.7588652482269503,0.8194444444444444,118,26,34,107,logreg_c01,acc,candidates_plus_raw_outputs
0.7894736842105263,0.7890809692671394,0.8248128447596532,0.7794117647058824,0.75177304964539,0.8263888888888888,119,25,35,106,gb_d2_lr03,bacc,candidates_plus_raw_outputs
0.7894736842105263,0.7890809692671394,0.8248128447596532,0.7794117647058824,0.75177304964539,0.8263888888888888,119,25,35,106,gb_d2_lr03,acc,candidates_plus_raw_outputs
0.7859649122807018,0.7860520094562649,0.817326635145784,0.7859649122807018,0.7943262411347518,0.7777777777777778,112,32,29,112,logreg_c01,f1,candidates_plus_raw_outputs
0.7824561403508772,0.7825797872340425,0.8378398345153664,0.7832167832167832,0.7943262411347518,0.7708333333333334,111,33,29,112,hgb_leaf3,bacc_sens80,candidates_plus_raw_outputs
0.7824561403508772,0.7825797872340425,0.8378398345153664,0.7832167832167832,0.7943262411347518,0.7708333333333334,111,33,29,112,hgb_leaf3,acc_sens80,candidates_plus_raw_outputs
