profile,model_kind,repeat_adapt,threshold_objective,threshold,task_l6_label,n,correct,accuracy
adapt180_mixed,logreg_0.0003,4,accuracy,0.6,AB,102,92,0.9019607843137255
adapt180_mixed,logreg_0.0003,4,accuracy,0.6,B1,4,2,0.5
adapt180_mixed,logreg_0.0003,4,accuracy,0.6,B2,7,6,0.8571428571428571
adapt180_mixed,logreg_0.0003,4,accuracy,0.6,TC,13,12,0.9230769230769231
adapt180_mixed,logreg_0.001,1,balanced_accuracy,0.5299999999999999,AB,102,86,0.8431372549019608
adapt180_mixed,logreg_0.001,1,balanced_accuracy,0.5299999999999999,B1,4,2,0.5
adapt180_mixed,logreg_0.001,1,balanced_accuracy,0.5299999999999999,B2,7,5,0.7142857142857143
adapt180_mixed,logreg_0.001,1,balanced_accuracy,0.5299999999999999,TC,13,10,0.7692307692307693
adapt180_mixed,logreg_0.001,1,accuracy,0.5299999999999999,AB,102,86,0.8431372549019608
adapt180_mixed,logreg_0.001,1,accuracy,0.5299999999999999,B1,4,2,0.5
adapt180_mixed,logreg_0.001,1,accuracy,0.5299999999999999,B2,7,5,0.7142857142857143
adapt180_mixed,logreg_0.001,1,accuracy,0.5299999999999999,TC,13,10,0.7692307692307693
adapt180_mixed,logreg_0.001,2,balanced_accuracy,0.5099999999999999,AB,102,83,0.8137254901960784
adapt180_mixed,logreg_0.001,2,balanced_accuracy,0.5099999999999999,B1,4,1,0.25
adapt180_mixed,logreg_0.001,2,balanced_accuracy,0.5099999999999999,B2,7,5,0.7142857142857143
adapt180_mixed,logreg_0.001,2,balanced_accuracy,0.5099999999999999,TC,13,11,0.8461538461538461
adapt180_mixed,logreg_0.001,2,accuracy,0.61,AB,102,92,0.9019607843137255
adapt180_mixed,logreg_0.001,2,accuracy,0.61,B1,4,2,0.5
adapt180_mixed,logreg_0.001,2,accuracy,0.61,B2,7,5,0.7142857142857143
adapt180_mixed,logreg_0.001,2,accuracy,0.61,TC,13,10,0.7692307692307693
adapt180_mixed,logreg_0.001,4,balanced_accuracy,0.6499999999999999,AB,102,94,0.9215686274509803
adapt180_mixed,logreg_0.001,4,balanced_accuracy,0.6499999999999999,B1,4,3,0.75
adapt180_mixed,logreg_0.001,4,balanced_accuracy,0.6499999999999999,B2,7,5,0.7142857142857143
adapt180_mixed,logreg_0.001,4,balanced_accuracy,0.6499999999999999,TC,13,10,0.7692307692307693
adapt180_mixed,logreg_0.001,4,accuracy,0.6499999999999999,AB,102,94,0.9215686274509803
adapt180_mixed,logreg_0.001,4,accuracy,0.6499999999999999,B1,4,3,0.75
adapt180_mixed,logreg_0.001,4,accuracy,0.6499999999999999,B2,7,5,0.7142857142857143
adapt180_mixed,logreg_0.001,4,accuracy,0.6499999999999999,TC,13,10,0.7692307692307693
adapt180_mixed,logreg_0.003,1,balanced_accuracy,0.4499999999999999,AB,102,76,0.7450980392156863
adapt180_mixed,logreg_0.003,1,balanced_accuracy,0.4499999999999999,B1,4,1,0.25
adapt180_mixed,logreg_0.003,1,balanced_accuracy,0.4499999999999999,B2,7,5,0.7142857142857143
adapt180_mixed,logreg_0.003,1,balanced_accuracy,0.4499999999999999,TC,13,11,0.8461538461538461
adapt180_mixed,logreg_0.003,1,accuracy,0.5299999999999999,AB,102,85,0.8333333333333334
adapt180_mixed,logreg_0.003,1,accuracy,0.5299999999999999,B1,4,2,0.5
adapt180_mixed,logreg_0.003,1,accuracy,0.5299999999999999,B2,7,5,0.7142857142857143
adapt180_mixed,logreg_0.003,1,accuracy,0.5299999999999999,TC,13,10,0.7692307692307693
adapt180_mixed,logreg_0.003,2,balanced_accuracy,0.3499999999999999,AB,102,62,0.6078431372549019
adapt180_mixed,logreg_0.003,2,balanced_accuracy,0.3499999999999999,B1,4,0,0.0
adapt180_mixed,logreg_0.003,2,balanced_accuracy,0.3499999999999999,B2,7,5,0.7142857142857143
