policy,score_name,extra_rate,split,accuracy,balanced_accuracy,sensitivity,specificity,precision,f1,tn,fp,fn,tp,control_n,control_rate,extra_captured_wrong_n,captured_wrong_n,captured_fn_n,captured_fp_n,remaining_error_n
v50_plus_rank_ood,low_confidence,0.15,development,0.9898477157360406,0.9891974556443751,0.9865470852017937,0.9918478260869565,0.9865470852017937,0.9865470852017937,365,3,3,220,431,0.7292724196277496,1,85,33,52,6
v50_plus_rank_ood,low_confidence,0.15,external,0.9722222222222222,0.9729682595047087,0.9787234042553191,0.9672131147540983,0.9583333333333334,0.968421052631579,59,2,1,46,83,0.7685185185185185,0,29,14,15,3
v50_plus_rank_ood,low_confidence,0.2,development,0.9915397631133672,0.9914396081107428,0.9910313901345291,0.9918478260869565,0.9866071428571429,0.9888143176733781,365,3,2,221,436,0.7377326565143824,2,86,34,52,5
v50_plus_rank_ood,low_confidence,0.2,external,0.9722222222222222,0.9729682595047087,0.9787234042553191,0.9672131147540983,0.9583333333333334,0.968421052631579,59,2,1,46,84,0.7777777777777778,0,29,14,15,3
v50_plus_rank_ood,low_confidence,0.25,development,0.9915397631133672,0.9914396081107428,0.9910313901345291,0.9918478260869565,0.9866071428571429,0.9888143176733781,365,3,2,221,436,0.7377326565143824,2,86,34,52,5
v50_plus_rank_ood,low_confidence,0.25,external,0.9722222222222222,0.9729682595047087,0.9787234042553191,0.9672131147540983,0.9583333333333334,0.968421052631579,59,2,1,46,88,0.8148148148148148,0,29,14,15,3
v50_plus_rank_ood,main_robust_disagreement,0.025,development,0.988155668358714,0.9869553031780074,0.9820627802690582,0.9918478260869565,0.9864864864864865,0.9842696629213483,365,3,4,219,429,0.7258883248730964,0,84,32,52,7
v50_plus_rank_ood,main_robust_disagreement,0.025,external,0.9722222222222222,0.9729682595047087,0.9787234042553191,0.9672131147540983,0.9583333333333334,0.968421052631579,59,2,1,46,79,0.7314814814814815,0,29,14,15,3
v50_plus_rank_ood,main_robust_disagreement,0.05,development,0.988155668358714,0.9869553031780074,0.9820627802690582,0.9918478260869565,0.9864864864864865,0.9842696629213483,365,3,4,219,433,0.7326565143824028,0,84,32,52,7
v50_plus_rank_ood,main_robust_disagreement,0.05,external,0.9722222222222222,0.9729682595047087,0.9787234042553191,0.9672131147540983,0.9583333333333334,0.968421052631579,59,2,1,46,79,0.7314814814814815,0,29,14,15,3
v50_plus_rank_ood,main_robust_disagreement,0.075,development,0.988155668358714,0.9869553031780074,0.9820627802690582,0.9918478260869565,0.9864864864864865,0.9842696629213483,365,3,4,219,434,0.7343485617597293,0,84,32,52,7
v50_plus_rank_ood,main_robust_disagreement,0.075,external,0.9722222222222222,0.9729682595047087,0.9787234042553191,0.9672131147540983,0.9583333333333334,0.968421052631579,59,2,1,46,80,0.7407407407407407,0,29,14,15,3
v50_plus_rank_ood,main_robust_disagreement,0.1,development,0.988155668358714,0.9869553031780074,0.9820627802690582,0.9918478260869565,0.9864864864864865,0.9842696629213483,365,3,4,219,438,0.7411167512690355,0,84,32,52,7
v50_plus_rank_ood,main_robust_disagreement,0.1,external,0.9722222222222222,0.9729682595047087,0.9787234042553191,0.9672131147540983,0.9583333333333334,0.968421052631579,59,2,1,46,80,0.7407407407407407,0,29,14,15,3
v50_plus_rank_ood,main_robust_disagreement,0.125,development,0.988155668358714,0.9869553031780074,0.9820627802690582,0.9918478260869565,0.9864864864864865,0.9842696629213483,365,3,4,219,440,0.7445008460236887,0,84,32,52,7
