score,recall_target,model,train_scope,pass_n,pass_frac,pass_acc,hardlike_n,hard_recall,hard_precision,base_acc,base_bacc,final_acc,final_bacc,final_auc,final_sens,final_spec,final_tn,final_fp,final_fn,final_tp,hard_base_acc,hard_final_acc,rescued,hurt,rescued_hard,hurt_hard,feature_set
review_score_upper_low_conf,0.6,extra,all_train,162,0.5684210526315789,0.8271604938271605,123,0.6461538461538462,0.34146341463414637,0.7684210526315789,0.7684692671394799,0.7649122807017544,0.7649231678486997,0.8209219858156028,0.7659574468085106,0.7638888888888888,110,34,33,108,0.27692307692307694,0.26153846153846155,0,1,0,1,raw_plus_review_gross
review_score_learn_hard_core_rf,0.8,extra,flag_train,75,0.2631578947368421,0.8533333333333334,210,0.8153846153846154,0.2523809523809524,0.7684210526315789,0.7684692671394799,0.7649122807017544,0.7649231678486997,0.8186564223798266,0.7659574468085106,0.7638888888888888,110,34,33,108,0.27692307692307694,0.26153846153846155,0,1,0,1,raw_plus_review_gross
review_score_learn_hard_core_extra,0.6,extra,all_train,166,0.5824561403508772,0.8373493975903614,119,0.5846153846153846,0.31932773109243695,0.7684210526315789,0.7684692671394799,0.7649122807017544,0.7649231678486997,0.8171296296296297,0.7659574468085106,0.7638888888888888,110,34,33,108,0.27692307692307694,0.26153846153846155,0,1,0,1,raw_plus_review
review_score_learn_hard_core_extra,0.6,extra,flag_train,166,0.5824561403508772,0.8373493975903614,119,0.5846153846153846,0.31932773109243695,0.7684210526315789,0.7684692671394799,0.7649122807017544,0.7649231678486997,0.8158490937746257,0.7659574468085106,0.7638888888888888,110,34,33,108,0.27692307692307694,0.26153846153846155,0,1,0,1,raw_plus_review
review_score_learn_hard_core_rf,0.6,extra,all_train,154,0.5403508771929825,0.8116883116883117,131,0.6,0.29770992366412213,0.7684210526315789,0.7684692671394799,0.7649122807017544,0.7649231678486997,0.8155043341213554,0.7659574468085106,0.7638888888888888,110,34,33,108,0.27692307692307694,0.26153846153846155,0,1,0,1,raw_plus_review_gross
review_score_upper_low_conf,0.7,extra,all_train,142,0.4982456140350877,0.852112676056338,143,0.7076923076923077,0.32167832167832167,0.7684210526315789,0.7684692671394799,0.7649122807017544,0.7649231678486997,0.8153073286052009,0.7659574468085106,0.7638888888888888,110,34,33,108,0.27692307692307694,0.26153846153846155,0,1,0,1,raw_plus_review
review_score_learn_hard_core_rf,0.8,extra,all_train,75,0.2631578947368421,0.8533333333333334,210,0.8153846153846154,0.2523809523809524,0.7684210526315789,0.7684692671394799,0.7649122807017544,0.7649231678486997,0.8153073286052009,0.7659574468085106,0.7638888888888888,110,34,33,108,0.27692307692307694,0.26153846153846155,0,1,0,1,raw_plus_review_gross
review_score_learn_hard_core_rf,0.7,extra,all_train,120,0.42105263157894735,0.8333333333333334,165,0.6923076923076923,0.2727272727272727,0.7684210526315789,0.7684692671394799,0.7649122807017544,0.7649231678486997,0.815061071710008,0.7659574468085106,0.7638888888888888,110,34,33,108,0.27692307692307694,0.26153846153846155,0,1,0,1,raw_plus_review_gross
review_score_upper_low_conf,0.9,extra,all_train,83,0.2912280701754386,0.9156626506024096,202,0.8769230769230769,0.28217821782178215,0.7684210526315789,0.7684692671394799,0.7649122807017544,0.7649231678486997,0.8143715524034673,0.7659574468085106,0.7638888888888888,110,34,33,108,0.27692307692307694,0.26153846153846155,0,1,0,1,raw_plus_review
review_score_learn_hard_core_extra,0.7,extra,all_train,135,0.47368421052631576,0.8518518518518519,150,0.6923076923076923,0.3,0.7684210526315789,0.7684692671394799,0.7649122807017544,0.7649231678486997,0.8138297872340424,0.7659574468085106,0.7638888888888888,110,34,33,108,0.27692307692307694,0.26153846153846155,0,1,0,1,raw_plus_review
