rule_id,conditions_json,internal_cases,released_n_sum,released_error_n_sum,released_high_risk_fn_n_sum,remaining_review_or_reject_n_sum,auto_error_n_sum,auto_high_risk_fn_n_sum,mean_review_or_reject_rate,min_balanced_accuracy
rule_0150,"{""model_disagreement_rate"": 0.0, ""router_risk_mean"": 0.5353073452206201}",591,26,2,2,170,3,3,0.28596491228070176,0.9817073170731707
rule_0007,"{""base_uncertainty"": 0.3626409721985777, ""model_disagreement_rate"": 0.0}",591,25,2,2,171,3,3,0.28771929824561404,0.9817073170731707
rule_0079,"{""base_entropy"": 0.6549198040994479, ""model_disagreement_rate"": 0.0}",591,25,2,2,171,3,3,0.28771929824561404,0.9817073170731707
rule_0453,"{""base_uncertainty"": 0.2930204020410354, ""safe_distance_case_score"": 0.5964855305337708}",591,25,2,2,171,3,3,0.2874785001719986,0.9817073170731707
rule_0581,"{""base_entropy"": 0.6048336049280865, ""safe_distance_case_score"": 0.5964855305337708}",591,25,2,2,171,3,3,0.2874785001719986,0.9817073170731707
rule_0658,"{""router_risk_mean"": 0.5353073452206201, ""safe_distance_case_score"": 0.514713758890918}",591,25,2,2,171,3,3,0.2871173030615755,0.9817073170731707
rule_0466,"{""base_uncertainty"": 0.3315778750082984, ""safe_distance_case_score"": 0.514713758890918}",591,24,2,2,172,3,3,0.28887168902648774,0.9817073170731707
rule_0594,"{""base_entropy"": 0.6352904375198885, ""safe_distance_case_score"": 0.514713758890918}",591,24,2,2,172,3,3,0.28887168902648774,0.9817073170731707
rule_0258,"{""model_disagreement_rate"": 0.4166666666666667, ""safe_distance_case_score"": 0.514713758890918}",591,23,2,2,173,3,3,0.29086687306501546,0.9817073170731707
rule_0446,"{""base_uncertainty"": 0.2773597104631068, ""safe_distance_case_score"": 0.6307140560545222}",591,23,2,2,173,3,3,0.29062607499140003,0.9817073170731707
rule_0574,"{""base_entropy"": 0.5904423424307783, ""safe_distance_case_score"": 0.6307140560545222}",591,23,2,2,173,3,3,0.29062607499140003,0.9817073170731707
rule_0638,"{""router_risk_mean"": 0.4682956323462678, ""safe_distance_case_score"": 0.6307140560545222}",591,23,2,2,173,3,3,0.29086687306501546,0.9817073170731707
rule_0250,"{""model_disagreement_rate"": 0.3333333333333333, ""safe_distance_case_score"": 0.514713758890918}",591,22,2,2,174,3,3,0.29250085999312003,0.9817073170731707
rule_0452,"{""base_uncertainty"": 0.2930204020410354, ""safe_distance_case_score"": 0.5740271177553192}",591,22,2,2,174,3,3,0.29250085999312003,0.9817073170731707
rule_0580,"{""base_entropy"": 0.6048336049280865, ""safe_distance_case_score"": 0.5740271177553192}",591,22,2,2,174,3,3,0.29250085999312003,0.9817073170731707
rule_0645,"{""router_risk_mean"": 0.48295647170231426, ""safe_distance_case_score"": 0.5964855305337708}",591,22,2,2,174,3,3,0.29262125902992775,0.9817073170731707
rule_0006,"{""base_uncertainty"": 0.3315778750082984, ""model_disagreement_rate"": 0.0}",591,20,2,2,176,3,3,0.2961300309597523,0.9817073170731707
rule_0078,"{""base_entropy"": 0.6352904375198885, ""model_disagreement_rate"": 0.0}",591,20,2,2,176,3,3,0.2961300309597523,0.9817073170731707
rule_0451,"{""base_uncertainty"": 0.2930204020410354, ""safe_distance_case_score"": 0.5384969832645418}",591,20,2,2,176,3,3,0.2957688338493292,0.9817073170731707
rule_0458,"{""base_uncertainty"": 0.31139524891716197, ""safe_distance_case_score"": 0.514713758890918}",591,20,2,2,176,3,3,0.2956484348125215,0.9817073170731707
rule_0579,"{""base_entropy"": 0.6048336049280865, ""safe_distance_case_score"": 0.5384969832645418}",591,20,2,2,176,3,3,0.2957688338493292,0.9817073170731707
rule_0586,"{""base_entropy"": 0.6202114444725993, ""safe_distance_case_score"": 0.514713758890918}",591,20,2,2,176,3,3,0.2956484348125215,0.9817073170731707
rule_0651,"{""router_risk_mean"": 0.5101635376559355, ""safe_distance_case_score"": 0.5384969832645418}",591,20,2,2,176,3,3,0.2957688338493292,0.9817073170731707
rule_0439,"{""base_uncertainty"": 0.2489689902481337, ""safe_distance_case_score"": 0.6809192268745825}",591,19,2,2,177,3,3,0.2977640178878569,0.9817073170731707
